parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
S14000071,Cowdenbeath and Kirkcaldy,5.9,21.3,62,193,447,1096,1,1.8,14.6,26,58,130
E14001183,Cramlington and Killingworth,6.3,20,62,191,450,1085,1.1,2.3,14.8,26,57,139
E14001184,Crawley,5.9,20.4,66,198,438,1033,1,2.5,16,29,68,451
E14001185,Crewe and Nantwich,6.1,20.7,64,166,526,1058,1,2.1,15.6,60,236,536
E14001186,Croydon East,6.5,21.3,63,197,448,1089,1.1,2,15.3,49,155,662
E14001187,Croydon South,6.7,21.4,63,201,449,1094,1.2,1.8,15.1,35,100,465
E14001188,Croydon West,6.8,21,65,186,460,1059,1,1.3,15.9,45,142,540
S14000072,Cumbernauld and Kirkintilloch,6.1,20.4,62,195,449,1090,1,2,14.6,25,54,120
E14001189,Dagenham and Rainham,5.8,19.9,64,185,467,1076,1,2,15.4,42,137,704
E14001190,Darlington,6.6,21.2,63,194,446,1092,0.9,1.6,14.8,24,50,108
E14001191,Dartford,6.3,20.7,64,185,463,1068,1.1,2.3,15.3,39,124,338
E14001192,Daventry,6.7,22.7,64,176,475,984,0.9,1.5,16,71,287,384
E14001193,Derby North,6.5,20.5,65,186,458,1050,1,1.8,17.4,29,76,359
E14001194,Derby South,6.5,21,64,185,459,1049,1.4,1.6,17,28,72,368
